sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,Temp_Diff,Engine Condition
642.5,1588.12,1406.54,553.92,2388.05,9064.29,47.2,522.25,2388.07,8137.46,8.4128,392,39.01,23.4004,-7615.21,0
642.83,1596.34,1416.6,553.59,2388.12,9062.86,47.45,521.4,2388.1,8143.82,8.414,393,38.75,23.3077,-7622.42,0
643.21,1591.02,1409.33,553.39,2388.13,9063.82,47.61,520.46,2388.12,8141.89,8.4712,393,38.77,23.242,-7621.43,0
642.22,1583.8,1403.49,554.0,2388.02,9064.52,47.15,522.08,2388.05,8139.59,8.3929,391,38.77,23.3473,-7617.51,0
642.42,1584.69,1401.36,553.61,2388.0,9081.47,47.15,522.02,2387.99,8161.41,8.419,393,39.0,23.4547,-7639.389999999999,0
642.69,1586.54,1406.47,554.26,2388.1,9065.05,47.35,521.43,2388.09,8146.63,8.431,393,38.81,23.3245,-7625.2,0
642.59,1595.91,1409.0,553.08,2388.07,9052.1,47.42,521.74,2388.05,8136.84,8.4156,394,38.97,23.3014,-7615.1,0
642.4,1590.5,1405.33,553.78,2388.12,9036.2,47.64,522.02,2388.17,8118.9,8.4126,394,38.77,23.2555,-7596.879999999999,0
642.37,1591.54,1400.25,554.27,2388.07,9048.31,47.33,521.98,2388.11,8134.07,8.397,392,38.95,23.4074,-7612.09,0
641.92,1581.7,1398.31,554.13,2388.04,9052.34,47.19,521.81,2387.99,8132.13,8.4206,392,38.91,23.5486,-7610.32,0
642.9,1589.5,1400.98,554.7,2388.03,9046.54,47.31,521.88,2388.07,8138.89,8.3961,392,38.95,23.4287,-7617.01,0
642.42,1586.47,1399.52,552.81,2388.16,9065.32,47.48,521.71,2388.1,8138.35,8.4262,393,38.82,23.3398,-7616.64,0
643.33,1598.94,1411.4,551.73,2388.17,9089.03,48.01,519.67,2388.19,8157.22,8.493,396,38.8,23.0854,-7637.55,1
643.09,1590.73,1404.55,553.29,2388.12,9058.08,47.73,521.36,2388.12,8131.41,8.4408,394,38.9,23.3245,-7610.05,0
642.99,1589.17,1410.96,552.82,2388.06,9084.1,47.66,521.3,2388.05,8161.75,8.4813,394,38.88,23.1859,-7640.45,0
642.97,1596.9,1418.05,552.6,2388.19,9048.73,47.62,521.02,2388.12,8130.42,8.4728,394,38.65,23.1261,-7609.4,1
643.17,1595.99,1417.82,552.72,2388.17,9060.22,47.66,520.8,2388.17,8133.98,8.4226,395,38.82,23.1578,-7613.179999999999,0
642.7,1594.12,1404.15,553.07,2388.08,9054.34,47.47,521.98,2388.14,8133.64,8.4483,393,38.69,23.2394,-7611.66,0
642.71,1581.51,1403.74,554.28,2388.07,9066.81,47.36,521.84,2388.1,8153.43,8.4452,393,38.93,23.2287,-7631.59,0
642.53,1592.82,1410.03,553.24,2388.12,9045.84,47.47,521.67,2388.15,8130.95,8.4491,393,38.68,23.2131,-7609.28,0
642.91,1594.45,1408.39,552.79,2388.13,9046.87,47.74,521.2,2388.14,8126.8,8.4474,395,38.7,23.1949,-7605.6,0
643.39,1593.69,1416.28,552.6,2388.14,9048.52,47.56,520.75,2388.18,8125.72,8.4818,393,38.5,23.273,-7604.97,0
642.33,1588.18,1403.24,554.43,2387.99,9060.06,47.18,522.14,2387.96,8145.73,8.4132,392,39.0,23.4556,-7623.589999999999,0
643.25,1592.41,1423.0,551.38,2388.26,9051.55,48.01,520.18,2388.2,8126.7,8.4419,396,38.54,23.043,-7606.5199999999995,1
642.02,1586.86,1406.44,553.57,2388.08,9054.96,47.43,521.92,2388.0,8136.56,8.4017,392,38.76,23.3354,-7614.64,0
643.85,1597.91,1422.25,552.13,2388.27,9058.21,47.9,520.2,2388.22,8133.44,8.4705,394,38.44,23.2252,-7613.24,1
642.39,1596.3,1408.82,552.51,2388.11,9087.02,47.87,520.7,2388.14,8160.33,8.4244,393,38.66,23.2241,-7639.63,0
643.07,1597.57,1418.82,552.14,2388.08,9090.13,47.82,521.22,2388.11,8164.86,8.4116,395,38.67,23.1022,-7643.639999999999,0
642.01,1591.29,1400.0,553.86,2388.0,9073.84,47.33,522.35,2387.96,8155.31,8.3754,389,38.97,23.3927,-7632.96,0
642.13,1583.93,1408.03,553.4,2388.1,9053.14,47.5,521.83,2388.11,8126.8,8.4475,392,38.95,23.3684,-7604.97,0
643.07,1588.82,1408.52,553.36,2388.14,9044.87,47.51,521.15,2388.14,8126.3,8.4225,392,38.77,23.2212,-7605.150000000001,0
642.92,1591.06,1416.33,553.27,2388.09,9065.52,47.5,520.87,2388.14,8144.67,8.4579,394,38.77,23.2931,-7623.8,0
643.78,1602.03,1429.67,551.46,2388.16,9084.13,48.21,520.07,2388.2,8174.85,8.5199,398,38.42,23.0358,-7654.780000000001,1
642.31,1594.01,1411.77,553.16,2388.15,9047.17,47.75,521.24,2388.07,8122.36,8.4963,393,38.71,23.4268,-7601.12,0
642.52,1591.1,1407.04,552.74,2388.05,9068.41,47.57,522.14,2388.07,8136.68,8.4306,393,38.95,23.1793,-7614.54,0
643.86,1601.8,1428.18,550.53,2388.25,9062.01,48.3,519.58,2388.26,8128.06,8.5572,396,38.56,23.1233,-7608.4800000000005,1
642.63,1586.75,1407.17,553.52,2388.07,9068.39,47.46,521.87,2388.13,8144.9,8.4359,393,38.72,23.2735,-7623.03,0
642.55,1589.2,1417.38,553.6,2388.12,9042.44,47.61,520.96,2388.11,8123.81,8.4489,394,38.67,23.3266,-7602.85,0
642.41,1589.48,1407.0,553.95,2388.11,9060.63,47.58,521.43,2388.06,8140.78,8.4315,392,38.72,23.2242,-7619.349999999999,0
642.25,1579.87,1399.51,554.39,2387.95,9067.21,47.12,522.11,2388.0,8146.36,8.404,391,38.97,23.4904,-7624.25,0
642.5,1585.45,1407.88,553.5,2388.06,9062.6,47.46,522.16,2388.08,8144.96,8.4073,392,38.84,23.2502,-7622.8,0
643.03,1588.49,1410.95,554.1,2388.08,9060.62,47.57,521.3,2388.14,8140.69,8.4749,393,38.77,23.3252,-7619.389999999999,0
643.52,1598.05,1432.22,551.31,2388.25,9031.12,48.07,519.42,2388.3,8110.1,8.4857,397,38.58,22.9949,-7590.68,1
642.83,1579.29,1402.11,553.4,2388.12,9051.11,47.39,521.58,2388.12,8132.45,8.4153,393,39.03,23.1934,-7610.87,0
643.02,1598.22,1409.55,552.93,2388.06,9127.81,47.92,520.55,2388.12,8191.47,8.4941,396,38.61,23.2125,-7670.92,1
641.86,1588.78,1405.44,553.56,2388.04,9061.17,47.42,521.95,2388.1,8140.73,8.4142,392,38.82,23.2617,-7618.78,0
642.49,1587.62,1407.37,553.13,2388.11,9058.96,47.44,521.88,2388.08,8137.37,8.4021,394,38.8,23.2185,-7615.49,0
643.21,1594.19,1421.07,552.62,2388.16,9093.83,47.77,520.6,2388.14,8165.22,8.4395,396,38.65,23.1964,-7644.62,0
641.83,1589.92,1404.78,554.09,2388.02,9060.58,47.14,522.09,2388.01,8140.48,8.4253,391,39.11,23.3515,-7618.389999999999,0
643.28,1595.14,1412.28,551.99,2388.2,9051.56,47.63,520.5,2388.17,8131.46,8.4645,393,38.69,23.2363,-7610.96,0
641.76,1590.49,1397.38,554.83,2387.99,9051.82,47.37,521.88,2388.01,8140.24,8.4318,391,39.04,23.4324,-7618.36,0
642.31,1581.27,1396.71,554.04,2388.02,9064.87,47.35,522.32,2388.04,8149.76,8.4034,393,39.07,23.3664,-7627.4400000000005,0
642.01,1582.72,1403.53,554.1,2387.97,9059.1,47.33,521.93,2388.08,8146.37,8.3967,393,38.83,23.5167,-7624.44,0
642.46,1587.27,1400.02,553.65,2388.05,9069.65,47.14,522.52,2387.98,8145.74,8.4259,392,38.73,23.2952,-7623.219999999999,0
642.83,1588.48,1415.33,553.41,2388.09,9059.7,47.63,521.01,2388.04,8138.85,8.4509,393,38.75,23.2943,-7617.84,0
642.67,1584.52,1406.04,553.08,2388.14,9038.15,47.63,521.64,2388.12,8124.72,8.4403,392,38.7,23.3463,-7603.08,0
642.7,1593.66,1407.71,553.56,2388.04,9065.47,47.35,522.3,2388.06,8142.78,8.4152,392,38.86,23.3278,-7620.48,0
642.59,1593.19,1404.16,553.03,2388.1,9040.55,47.37,520.97,2388.15,8120.01,8.431,393,38.82,23.2902,-7599.04,0
642.64,1592.69,1415.97,552.3,2388.09,9064.26,47.64,520.87,2388.1,8139.66,8.4598,394,38.7,23.2856,-7618.79,0
642.18,1583.79,1400.8,553.75,2388.04,9060.2,47.25,522.0,2388.09,8142.51,8.4416,390,39.08,23.314,-7620.51,0
642.76,1592.62,1416.68,553.9,2388.08,9055.4,47.53,520.88,2388.13,8140.15,8.4681,393,38.71,23.2738,-7619.2699999999995,0
642.77,1589.52,1399.66,554.17,2388.07,9062.43,47.37,521.89,2388.15,8139.21,8.427,393,38.74,23.3325,-7617.32,0
642.17,1593.36,1405.79,553.96,2388.16,9045.27,47.4,521.15,2388.13,8123.16,8.4287,392,38.84,23.3721,-7602.01,0
642.89,1593.52,1417.0,553.86,2388.13,9060.56,47.44,520.85,2388.11,8132.47,8.4373,394,38.72,23.1734,-7611.62,0
642.66,1583.44,1417.08,553.39,2388.14,9041.54,47.44,521.87,2388.14,8120.97,8.4283,393,38.89,23.2849,-7599.1,0
643.08,1597.09,1410.26,553.08,2388.05,9121.68,47.51,521.8,2388.08,8195.04,8.4578,394,38.69,23.3193,-7673.240000000001,0
642.02,1584.93,1401.05,554.23,2388.08,9051.1,47.44,521.85,2388.12,8126.27,8.4206,391,39.09,23.3077,-7604.42,0
642.06,1583.94,1399.22,554.39,2388.05,9055.59,47.22,521.83,2388.07,8135.57,8.4221,393,38.95,23.387,-7613.74,0
642.65,1586.68,1403.23,553.52,2388.07,9071.1,47.22,522.26,2388.08,8144.31,8.4174,393,38.73,23.3029,-7622.05,0
642.56,1586.48,1413.01,553.91,2388.13,9041.69,47.46,522.07,2388.04,8120.37,8.4096,393,38.88,23.3891,-7598.3,0
642.16,1582.53,1400.94,553.96,2387.98,9066.56,47.31,522.18,2388.09,8148.3,8.4143,392,38.94,23.308,-7626.12,0
642.71,1595.54,1408.01,553.88,2388.04,9066.58,47.43,521.61,2388.04,8143.02,8.4167,391,38.83,23.4591,-7621.410000000001,0
643.09,1592.38,1397.15,553.34,2388.06,9065.91,47.51,521.43,2388.06,8140.01,8.4228,392,38.93,23.2877,-7618.58,0
642.26,1590.46,1403.99,553.78,2388.07,9059.21,47.41,521.57,2388.06,8144.72,8.4485,393,38.78,23.3563,-7623.150000000001,0
642.39,1591.41,1413.63,553.35,2388.09,9071.99,47.67,521.44,2388.07,8150.02,8.4888,394,38.74,23.2573,-7628.58,0
643.69,1602.9,1430.41,551.8,2388.14,9109.55,48.08,520.03,2388.18,8181.4,8.4998,397,38.6,23.1296,-7661.37,1
642.46,1589.72,1397.94,553.9,2388.03,9053.93,47.24,521.82,2388.0,8142.27,8.4161,391,38.93,23.4205,-7620.450000000001,0
642.59,1585.42,1406.37,553.46,2388.08,9062.04,47.25,521.51,2388.07,8147.92,8.4111,393,38.97,23.3908,-7626.41,0
642.3,1585.01,1400.35,554.54,2388.02,9062.67,47.24,522.13,2388.0,8141.56,8.4204,394,39.08,23.4127,-7619.43,0
642.64,1587.14,1410.27,552.83,2388.04,9051.46,47.33,521.48,2388.01,8142.37,8.4258,393,38.83,23.3288,-7620.889999999999,0
643.39,1591.42,1412.79,553.46,2388.1,9064.62,47.84,521.14,2388.1,8145.45,8.4597,393,38.89,23.1164,-7624.3099999999995,0
642.72,1588.87,1401.07,554.09,2388.08,9063.99,47.44,521.93,2388.13,8136.88,8.4288,394,38.91,23.3943,-7614.95,0
643.95,1602.77,1426.13,551.38,2388.29,9040.12,48.2,519.53,2388.3,8112.12,8.5036,395,38.61,23.1309,-7592.59,1
642.9,1592.37,1404.86,553.68,2388.11,9055.9,47.39,521.96,2388.09,8134.61,8.4151,392,38.8,23.3713,-7612.65,0
643.36,1593.54,1421.55,551.59,2388.22,9036.66,47.99,519.72,2388.31,8110.75,8.5259,396,38.64,23.1695,-7591.03,1
642.33,1587.05,1409.73,553.2,2388.14,9050.57,47.59,521.64,2388.16,8124.43,8.414,394,38.91,23.2884,-7602.79,0
642.67,1588.09,1411.27,553.2,2388.09,9076.86,47.49,521.47,2388.09,8157.58,8.3954,391,38.66,23.3998,-7636.11,0
642.02,1583.53,1400.11,554.34,2388.04,9054.41,47.01,522.85,2388.01,8138.91,8.3842,391,39.05,23.4339,-7616.0599999999995,0
643.34,1599.7,1430.76,551.83,2388.24,9152.39,48.39,519.65,2388.19,8209.96,8.5266,397,38.61,23.0262,-7690.3099999999995,1
642.49,1585.71,1408.04,553.8,2388.03,9074.32,47.18,521.3,2388.1,8160.11,8.4111,393,38.87,23.2966,-7638.8099999999995,0
643.44,1600.4,1420.29,552.4,2388.16,9142.03,47.84,520.41,2388.13,8213.24,8.4906,396,38.61,23.1144,-7692.83,1
643.41,1588.81,1406.46,553.03,2388.06,9069.36,47.53,520.88,2388.1,8145.61,8.4725,394,38.94,23.2945,-7624.73,0
643.73,1596.02,1428.69,552.19,2388.25,9034.23,48.05,520.3,2388.24,8111.17,8.4859,395,38.61,23.1055,-7590.87,1
643.51,1597.49,1418.19,552.46,2388.09,9087.62,47.87,520.47,2388.08,8162.83,8.4469,393,38.6,23.2617,-7642.36,0
643.42,1589.05,1406.08,553.72,2388.12,9054.0,47.59,521.76,2388.13,8142.97,8.4789,395,38.7,23.2793,-7621.21,0
642.46,1590.93,1406.47,554.06,2388.14,9053.11,47.52,522.58,2388.07,8129.58,8.394,395,39.01,23.2268,-7607.0,0
642.09,1582.86,1400.71,554.88,2388.01,9056.77,47.15,522.39,2387.99,8147.13,8.3931,391,39.1,23.4077,-7624.74,0
642.93,1601.62,1423.93,551.44,2388.25,9026.66,48.06,519.85,2388.25,8112.98,8.4835,396,38.57,23.0016,-7593.129999999999,1
643.1,1590.1,1411.74,553.68,2388.13,9118.46,47.53,520.89,2388.08,8185.48,8.4554,394,38.79,23.1847,-7664.589999999999,0
642.97,1585.94,1411.6,552.87,2388.09,9047.21,47.45,521.11,2388.1,8128.25,8.4202,393,38.98,23.268,-7607.14,0
643.16,1590.78,1411.66,553.56,2388.1,9068.24,47.52,521.46,2388.1,8144.87,8.4414,393,38.75,23.3147,-7623.41,0
642.5,1578.69,1402.9,553.59,2388.01,9061.26,47.07,521.7,2387.95,8148.01,8.432,392,38.76,23.4144,-7626.31,0
643.76,1601.4,1423.73,551.48,2388.22,9080.41,48.1,519.68,2388.2,8152.73,8.5285,396,38.51,23.0425,-7633.049999999999,1
641.93,1592.62,1412.38,553.53,2388.09,9045.42,47.63,521.55,2388.1,8128.58,8.4463,392,38.92,23.2624,-7607.03,0
642.79,1585.05,1408.53,552.76,2388.07,9067.67,47.52,521.94,2388.1,8142.58,8.4244,394,38.81,23.3402,-7620.639999999999,0
642.56,1592.43,1405.07,553.81,2388.12,9072.48,47.58,521.34,2388.06,8149.92,8.4565,394,38.91,23.3087,-7628.58,0
642.76,1597.03,1408.09,552.79,2388.19,9039.09,47.89,520.69,2388.24,8126.53,8.4922,393,38.59,23.2129,-7605.84,1
642.85,1590.18,1398.33,553.74,2388.08,9064.04,47.43,521.74,2388.11,8143.6,8.4418,394,38.91,23.2321,-7621.860000000001,0
642.46,1584.32,1409.2,553.92,2388.09,9056.49,47.42,522.4,2388.0,8136.93,8.398,391,38.85,23.3323,-7614.530000000001,0
642.44,1587.53,1407.61,553.88,2388.08,9066.0,47.36,522.18,2388.05,8146.92,8.4279,393,38.83,23.3956,-7624.74,0
643.42,1596.19,1411.94,552.54,2388.17,9057.4,47.7,521.72,2388.17,8130.56,8.4378,394,38.75,23.3027,-7608.84,0
642.51,1582.33,1410.22,554.11,2388.14,9063.23,47.39,521.93,2388.03,8147.28,8.443,392,38.9,23.3328,-7625.349999999999,0
642.66,1586.97,1402.73,553.42,2388.05,9064.68,47.47,521.53,2388.12,8147.34,8.4266,393,38.86,23.2682,-7625.81,0
642.23,1590.0,1406.21,552.88,2388.12,9059.15,47.52,521.58,2388.06,8140.78,8.4195,396,39.05,23.3562,-7619.2,0
641.86,1591.61,1396.98,554.32,2388.02,9060.38,47.13,522.2,2387.99,8147.53,8.3996,391,38.82,23.4084,-7625.33,0
642.44,1582.47,1403.22,553.92,2388.01,9060.05,47.36,522.43,2388.06,8140.39,8.403,393,39.03,23.4854,-7617.96,0
642.39,1579.78,1396.68,554.35,2388.07,9059.87,47.38,521.7,2388.05,8137.4,8.3972,393,38.99,23.3907,-7615.7,0
643.6,1598.79,1434.02,550.77,2388.32,9032.34,48.4,519.31,2388.34,8110.86,8.5637,395,38.44,23.0727,-7591.549999999999,1
642.31,1591.24,1407.75,553.17,2388.11,9062.14,47.52,521.66,2388.06,8141.87,8.436,391,39.01,23.2595,-7620.21,0
642.74,1579.91,1406.23,554.04,2388.09,9052.19,47.58,521.72,2388.07,8138.54,8.4236,393,38.94,23.3697,-7616.82,0
642.54,1597.88,1420.69,552.66,2388.1,9062.48,47.74,521.03,2388.17,8131.78,8.4495,393,38.84,23.2273,-7610.75,0
643.48,1599.18,1424.78,550.92,2388.25,9031.31,48.16,519.78,2388.28,8108.82,8.5074,397,38.51,23.0398,-7589.04,1
643.02,1594.03,1414.77,552.6,2388.1,9072.23,47.63,521.46,2388.13,8150.25,8.4922,394,38.66,23.2358,-7628.79,0
642.54,1598.75,1401.51,554.12,2388.1,9057.56,47.46,521.81,2388.11,8143.3,8.4469,391,38.88,23.1876,-7621.49,0
642.87,1586.57,1405.96,553.64,2388.09,9087.19,47.53,520.99,2388.08,8159.51,8.4515,393,38.79,23.2403,-7638.52,0
642.2,1584.74,1401.17,554.29,2388.04,9069.06,47.15,522.37,2387.99,8143.64,8.374,394,39.0,23.4887,-7621.27,0
642.32,1586.97,1407.02,552.94,2388.12,9053.43,47.3,521.69,2388.12,8132.33,8.4214,394,38.78,23.2726,-7610.639999999999,0
642.99,1592.89,1428.4,552.57,2388.1,9117.35,47.57,521.03,2388.07,8187.67,8.487,395,38.66,23.2378,-7666.64,1
642.35,1585.32,1400.55,553.47,2388.06,9058.12,47.58,521.75,2388.09,8142.15,8.4444,391,38.79,23.3034,-7620.4,0
643.36,1596.39,1414.57,552.65,2388.11,9067.71,47.89,520.77,2388.1,8155.46,8.4799,394,38.56,23.2333,-7634.6900000000005,1
643.37,1592.53,1419.16,552.18,2388.18,9055.96,47.93,520.48,2388.21,8134.54,8.5044,396,38.64,23.1469,-7614.0599999999995,1
642.69,1594.05,1414.47,553.44,2388.13,9056.6,47.55,521.2,2388.06,8130.16,8.415,394,38.88,23.2775,-7608.96,0
641.83,1586.45,1398.25,553.8,2388.0,9057.52,47.15,522.35,2387.95,8140.86,8.3923,392,39.06,23.4273,-7618.509999999999,0
643.21,1587.99,1418.87,553.24,2388.12,9052.91,47.56,520.66,2388.15,8122.23,8.44,394,38.8,23.2342,-7601.57,0
643.63,1600.23,1424.4,551.43,2388.22,9073.91,47.95,520.09,2388.19,8147.12,8.4941,396,38.49,23.11,-7627.03,1
642.41,1581.12,1405.76,553.85,2388.1,9050.46,47.35,522.06,2388.09,8129.41,8.4333,393,39.04,23.3655,-7607.35,0
642.37,1593.89,1400.73,554.15,2387.99,9068.61,47.31,521.81,2388.02,8143.74,8.4021,391,39.0,23.2841,-7621.93,0
642.22,1588.82,1397.23,554.51,2388.1,9063.16,47.41,522.05,2388.07,8146.34,8.4145,391,39.05,23.423,-7624.29,0
642.81,1595.37,1410.63,553.74,2388.15,9059.79,47.69,520.88,2388.08,8137.77,8.4827,394,38.91,23.2101,-7616.89,0
642.65,1583.62,1401.69,554.11,2388.11,9072.18,47.67,521.65,2388.08,8150.26,8.4419,393,38.9,23.2703,-7628.610000000001,0
643.25,1594.31,1413.21,552.74,2388.08,9107.91,47.89,520.83,2388.08,8174.16,8.4765,394,38.82,23.114,-7653.33,1
643.36,1603.48,1425.92,551.83,2388.23,9067.15,48.08,519.24,2388.19,8143.16,8.5272,395,38.43,23.035,-7623.92,1
642.53,1597.95,1414.01,553.44,2388.1,9053.35,47.5,521.42,2388.1,8138.45,8.4571,393,38.95,23.3986,-7617.03,0
642.61,1591.59,1407.89,553.41,2388.09,9056.11,47.49,521.72,2388.1,8139.5,8.4493,394,38.92,23.3184,-7617.78,0
642.74,1589.91,1414.13,553.09,2388.15,9047.25,47.54,521.36,2388.13,8129.91,8.4136,394,38.83,23.3718,-7608.55,0
642.3,1579.26,1407.96,553.87,2388.12,9064.14,47.3,521.79,2388.12,8136.87,8.4406,392,38.64,23.4127,-7615.08,0
641.63,1586.99,1402.58,553.88,2388.0,9076.72,47.35,521.97,2387.96,8153.67,8.3852,391,39.11,23.4294,-7631.7,0
642.8,1587.21,1417.91,552.07,2388.07,9062.83,47.72,521.46,2388.18,8143.54,8.4855,393,38.8,23.2418,-7622.08,0
643.33,1591.95,1411.94,552.69,2388.06,9060.74,47.64,522.17,2388.06,8146.63,8.4861,393,38.99,23.3619,-7624.46,0
642.22,1582.69,1394.22,554.27,2388.01,9070.7,47.01,522.5,2387.98,8153.92,8.4066,390,38.97,23.3803,-7631.42,0
642.48,1582.15,1406.23,553.62,2388.05,9056.96,47.62,521.69,2388.05,8134.35,8.4186,392,38.88,23.3317,-7612.66,0
643.28,1594.84,1409.82,553.26,2388.12,9051.02,47.48,521.3,2388.11,8127.29,8.4591,393,38.93,23.3402,-7605.99,0
642.44,1588.17,1396.25,554.06,2388.05,9095.39,47.66,521.53,2388.03,8173.61,8.4381,394,38.89,23.4518,-7652.08,0
642.83,1595.07,1410.18,552.22,2388.15,9127.24,47.82,520.54,2388.08,8195.14,8.4633,395,38.73,23.1746,-7674.599999999999,1
643.01,1595.06,1406.09,553.81,2388.07,9069.25,47.46,521.55,2388.1,8145.94,8.4918,392,38.67,23.2709,-7624.389999999999,0
642.2,1581.03,1397.15,554.21,2388.01,9053.7,47.23,521.67,2388.06,8142.37,8.4587,392,38.99,23.395,-7620.7,0
642.46,1590.54,1414.97,552.86,2388.12,9045.73,47.48,520.65,2388.12,8127.79,8.4149,391,38.9,23.292,-7607.14,0
642.38,1587.99,1411.07,553.26,2388.14,9054.06,47.62,521.78,2388.09,8134.53,8.4502,393,38.92,23.3091,-7612.75,0
642.28,1588.73,1399.72,555.27,2388.0,9052.71,47.23,522.06,2388.06,8136.67,8.4019,391,39.09,23.2911,-7614.610000000001,0
641.96,1583.02,1405.9,554.16,2388.0,9068.8,47.42,521.91,2388.12,8149.41,8.428,393,39.09,23.1994,-7627.5,0
643.04,1596.01,1415.27,552.05,2388.19,9047.16,48.06,520.31,2388.24,8123.44,8.4997,395,38.64,23.2798,-7603.129999999999,1
642.56,1588.62,1405.94,554.46,2388.05,9048.72,47.44,521.96,2388.04,8131.66,8.4139,392,38.77,23.3313,-7609.7,0
642.81,1588.86,1412.05,553.01,2388.14,9043.99,47.6,521.7,2388.14,8128.16,8.465,393,38.85,23.2723,-7606.46,0
642.99,1593.37,1418.18,553.24,2388.16,9053.79,47.57,521.4,2388.14,8136.74,8.4762,393,38.76,23.2158,-7615.34,0
642.86,1601.77,1419.18,551.99,2388.18,9052.65,47.71,520.75,2388.22,8119.16,8.515,395,38.85,23.1931,-7598.41,0
642.96,1584.66,1411.53,552.86,2388.09,9043.9,47.72,521.52,2388.08,8130.61,8.4427,395,38.64,23.1529,-7609.09,0
642.63,1594.49,1403.2,552.68,2388.14,9052.41,47.64,521.26,2388.14,8131.06,8.4467,394,38.95,23.2946,-7609.8,0
643.14,1593.19,1400.84,553.68,2388.15,9054.21,47.51,521.61,2388.12,8132.39,8.4229,394,38.71,23.3353,-7610.780000000001,0
643.75,1598.88,1422.95,552.92,2388.16,9113.45,47.84,520.66,2388.18,8177.53,8.4929,395,38.5,23.1103,-7656.87,1
642.78,1595.38,1404.66,553.52,2388.03,9065.83,47.55,521.47,2388.07,8147.12,8.4272,393,38.78,23.2625,-7625.65,0
642.63,1595.19,1405.32,552.45,2388.13,9072.92,47.76,520.85,2388.11,8148.95,8.4326,394,38.73,23.3127,-7628.099999999999,0
642.86,1578.91,1406.92,553.32,2388.1,9042.33,47.65,521.22,2388.13,8121.98,8.4634,394,38.85,23.3135,-7600.759999999999,0
642.5,1583.85,1411.65,553.16,2388.14,9049.15,47.5,521.17,2388.12,8132.86,8.4513,393,38.89,23.2676,-7611.69,0
642.39,1587.75,1401.06,554.13,2388.01,9075.56,47.34,522.64,2387.96,8147.96,8.3605,391,38.93,23.1841,-7625.32,0
643.33,1590.41,1405.38,553.09,2388.13,9045.77,47.41,521.75,2388.11,8120.73,8.4265,395,38.89,23.2556,-7598.98,0
642.93,1589.76,1407.48,553.83,2388.08,9099.85,47.46,521.56,2388.02,8174.3,8.4342,394,38.85,23.2648,-7652.74,0
642.44,1590.72,1398.12,553.78,2388.04,9063.34,47.2,523.11,2388.02,8137.36,8.4041,392,39.17,23.4927,-7614.25,0
642.02,1581.45,1402.71,554.41,2388.03,9076.69,47.52,521.92,2388.07,8146.31,8.413,391,38.94,23.2698,-7624.39,0
642.71,1589.75,1402.48,553.3,2388.14,9051.09,47.45,520.95,2388.1,8132.71,8.4628,393,38.86,23.3214,-7611.76,0
642.71,1593.2,1405.33,553.02,2388.11,9057.8,47.4,521.94,2388.06,8140.02,8.4428,392,38.84,23.3273,-7618.08,0
642.43,1591.28,1413.61,552.57,2388.18,9074.06,47.64,520.48,2388.18,8142.5,8.4593,395,38.69,23.0888,-7622.02,0
642.63,1589.39,1400.47,554.17,2388.12,9048.19,47.47,521.56,2388.12,8135.55,8.4294,392,39.05,23.3514,-7613.99,0
642.41,1582.81,1393.39,553.28,2388.09,9061.95,47.34,521.66,2388.06,8138.61,8.4385,393,38.83,23.349,-7616.95,0
